metric,value
format_acc,0.7250
tool_acc,0.7250
param_acc,0.3000
reply_quality,0.6893
composite,0.6134
params,41448
baseline_params,96720
param_reduction_pct,57.1
inference_speed,772.1
training_time,41.2
alpha_divergence,0.046103
param_efficiency,0.014799
alpha_l0_qkv_w,1.135481
alpha_l0_attn_proj,1.120320
alpha_l0_ff_w1,1.507980
alpha_l0_ff_w2,0.906642
alpha_l1_qkv_w,1.185568
alpha_l1_attn_proj,0.849087
alpha_l1_ff_w1,1.485221
alpha_l1_ff_w2,0.826718
alpha_l2_qkv_w,1.132532
alpha_l2_attn_proj,0.943242
alpha_l2_ff_w1,1.527319
alpha_l2_ff_w2,0.960359
